topic,rank,term,prob
0,1,kemasan,0.024025853723287582
0,2,kemasannya,0.02336408756673336
0,3,isinya,0.02322370745241642
0,4,packagingnya,0.022802600637078285
0,5,friendly,0.022722391411662102
0,6,isi,0.022682277485728264
0,7,praktis,0.02264217659831047
0,8,packaging,0.02252185344696045
0,9,simple,0.022501802071928978
0,10,botolnya,0.022461695596575737
0,11,rapat,0.022441646084189415
0,12,bawa,0.022421587258577347
0,13,mini,0.022381482645869255
0,14,rapatnya,0.022321326658129692
0,15,sizenya,0.022321322932839394
0,16,friendlynya,0.02228122018277645
0,17,pump,0.02224110998213291
0,18,tutup,0.02222105860710144
0,19,full_size,0.02222105674445629
0,20,travel_size,0.02222105674445629
0,21,pergi,0.02220100350677967
0,22,tutupnya,0.0221809521317482
0,23,dibuka,0.0221809484064579
0,24,pecah,0.0221809484064579
0,25,travelling,0.02216089703142643
0,26,travel,0.02216089703142643
0,27,rapi,0.02216089703142643
0,28,dusnya,0.02216089703142643
0,29,wadah,0.02214084379374981
0,30,fliptop,0.02214084379374981
1,1,wanginya,0.0210416242480278
1,2,baunya,0.020403550937771797
1,3,aroma,0.019945448264479637
1,4,wangi,0.019667308777570724
1,5,aromanya,0.019405536353588104
1,6,bau,0.019372818991541862
1,7,wanginya_enak,0.019307365640997887
1,8,nyengat,0.019061962142586708
1,9,fresh,0.01899651251733303
1,10,fragrance,0.018947433680295944
1,11,strong,0.018636580556631088
1,12,bau_aneh,0.018620217218995094
1,13,mengganggu,0.0186038538813591
1,14,kenceng,0.018587494269013405
1,15,kuat,0.01844024658203125
1,16,tercium,0.018391165882349014
1,17,parfum,0.018325723707675934
1,18,buah,0.01830936223268509
1,19,wangi_buah,0.01824391819536686
1,20,harum,0.018227558583021164
1,21,wangi_soft,0.018227556720376015
1,22,parfumnya,0.018227556720376015
1,23,tajam,0.01821119524538517
1,24,manis,0.018194835633039474
1,25,apek,0.018194835633039474
1,26,nyenget,0.01817847602069378
1,27,mobil,0.01817847602069378
1,28,wangi_mobil,0.018162114545702934
1,29,wangi_strong,0.01814575307071209
1,30,sengat,0.018129391595721245
2,1,teksturnya,0.021971849724650383
2,2,tekstur,0.020029300823807716
2,3,lengket,0.019995806738734245
2,4,kasar,0.019979028031229973
2,5,oily,0.018153777346014977
2,6,lembut,0.01780214160680771
2,7,berat,0.016663484275341034
2,8,kental,0.016546282917261124
2,9,cair,0.01647930033504963
2,10,kenyal,0.01621135137975216
2,11,greasy,0.016194617375731468
2,12,meresap,0.016010424122214317
2,13,butiran,0.015976926311850548
2,14,bening,0.015876466408371925
2,15,menyerap,0.01577599346637726
2,16,licin,0.01570899784564972
2,17,gel,0.015608545392751694
2,18,thick,0.015591791830956936
2,19,tekstur_ringan,0.015591790899634361
2,20,cream,0.015575050376355648
2,21,kentel,0.01552481297403574
2,22,plumpy,0.015508066862821579
2,23,nyerep,0.015474574640393257
2,24,texture,0.015441086143255234
2,25,basah,0.0153908496722579
2,26,bertekstur,0.015390848740935326
2,27,bulir,0.01537410356104374
2,28,berlayer,0.01537410356104374
2,29,watery,0.01537410356104374
2,30,menyerapnya,0.01537410356104374
3,1,harganya,0.02041255496442318
3,2,harga,0.020082857459783554
3,3,murah,0.018644185736775398
3,4,harga_segitu,0.01859922520816326
3,5,mahal,0.018269533291459084
3,6,harga_murah,0.017460282891988754
3,7,affordable,0.01744529791176319
3,8,harganya_terjangkau,0.01731042005121708
3,9,harga_mahal,0.01731041818857193
3,10,kantong,0.01726546138525009
3,11,diskon,0.017235489562153816
3,12,pelajar,0.01714557409286499
3,13,terjangkau,0.016920780763030052
3,14,harga_affordable,0.0168608371168375
3,15,promo,0.016860835254192352
3,16,murce,0.01680089347064495
3,17,budget,0.01674094796180725
3,18,mahasiswa,0.016725962981581688
3,19,bersahabat,0.016695989295840263
3,20,hemat,0.016695989295840263
3,21,segi_harga,0.016695989295840263
3,22,price,0.016636045649647713
3,23,dompet,0.016591086983680725
3,24,uang,0.016591086983680725
3,25,kemahalan,0.016591086983680725
3,26,mahalnya,0.01656111516058445
3,27,sale,0.01656111516058445
3,28,murmer,0.016546130180358887
3,29,pricey,0.016546128317713737
3,30,murahnya,0.016531143337488174
4,1,kering,0.011103273369371891
4,2,cocok,0.011078611947596073
4,3,efek,0.010562585666775703
4,4,kusam,0.010520515032112598
4,5,lembab,0.010442407801747322
4,6,sensitif,0.010202087461948395
4,7,berminyak,0.010117999278008938
4,8,cerah,0.010093974880874157
4,9,bruntusan,0.01008796039968729
4,10,hasilnya,0.0098356232047081
4,11,efeknya,0.009601331315934658
4,12,melembabkan,0.009601323865354061
4,13,parah,0.00954725407063961
4,14,mencerahkan,0.00954124704003334
4,15,bersih,0.009523222222924232
4,16,berasa,0.00942709855735302
4,17,glowing,0.009361017495393753
4,18,bekas_jerawat,0.009355006739497185
4,19,breakout,0.009276900440454483
4,20,beruntusan,0.009234851226210594
4,21,hilang,0.00922283437103033
4,22,komedo,0.009126708842813969
4,23,merah,0.00910267699509859
4,24,ngerasa,0.009102675132453442
4,25,perih,0.009066629223525524
4,26,panas,0.00905461423099041
4,27,iritasi,0.009018567390739918
4,28,hasil,0.008922439068555832
4,29,sakit,0.008922436274588108
4,30,pipi,0.008898410946130753
